"site","year","Descriptors","yield (modified)","for_join_control","grouping","modification","crop","yr_post_amelioration","decile","rainfall_mean_annual","yield  (un modified)","data source","price"
"Bute_CSIRO",2020,"Rip.50IncRip_none",1.85007440476191,"Bute_CSIRO_2020","IncRip none","IncRip","lentils",2,"decile_6",389.156451612903,1.92150297619047,"trial",0
"Bute_CSIRO",2021,"Unmodified_Cl@2.5.surface_Yr18,19,20",4.75892857142857,"Bute_CSIRO_2021","Unmodified animal","Unmodified","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.30_Cl@7.5.band_30",4.69196428571428,"Bute_CSIRO_2021","Rip animal","Rip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Unmodified_Cl@7.5.surface",4.64732142857143,"Bute_CSIRO_2021","Unmodified animal","Unmodified","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.30_Cl@7.5.surface",4.57142857142857,"Bute_CSIRO_2021","Rip animal","Rip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.50_Cl@2.5.surface_Yr18,19,20",4.47321428571428,"Bute_CSIRO_2021","Rip animal","Rip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.50_Cl@7.5.band_50",4.43601190476191,"Bute_CSIRO_2021","Rip animal","Rip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.50_Cl@7.5.surface",4.35267857142857,"Bute_CSIRO_2021","Rip animal","Rip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.30_none",4.27678571428571,"Bute_CSIRO_2021","Rip none","Rip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.50IncRip_Cl@7.5.incorp_50",4.22172619047619,"Bute_CSIRO_2021","IncRip animal","IncRip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.50IncRip_none",4.05059523809524,"Bute_CSIRO_2021","IncRip none","IncRip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_CSIRO",2021,"Rip.50_none",4.00595238095238,"Bute_CSIRO_2021","Rip none","Rip","wheat",3,"decile_4",389.156451612903,4.07738095238095,"trial",0
"Bute_Trengrove",2015,"Rip.50_Fert.surface",2.98831541218638,"Bute_Trengrove_2015","Rip fertiliser","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Cl@5.incorp_20.Clay.incorp_20",2.96330645161291,"Bute_Trengrove_2015","Rip mixed","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Cl@5.incorp_20",2.90315651135006,"Bute_Trengrove_2015","Rip animal","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Cl@5.incorp_8",2.86490143369176,"Bute_Trengrove_2015","Unmodified animal","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Cl@5.incorp_8.Fert.surface",2.85525388291517,"Bute_Trengrove_2015","Unmodified mixed","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_none",2.75097520908005,"Bute_Trengrove_2015","Rip none","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Cl@5.incorp_20.Fert.surface",2.54847222222222,"Bute_Trengrove_2015","Rip mixed","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Cl@20.incorp_8",2.50476164874552,"Bute_Trengrove_2015","Unmodified animal","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Fert.surface.Clay.incorp_8",2.4945908004779,"Bute_Trengrove_2015","Unmodified mixed","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Cl@5.incorp_8.Clay.incorp_8",2.45230884109916,"Bute_Trengrove_2015","Unmodified mixed","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Cl@20.incorp_8.Fert.surface",2.43690561529271,"Bute_Trengrove_2015","Unmodified mixed","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Fert.surface",2.41855436081243,"Bute_Trengrove_2015","Unmodified fertiliser","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Fert.surface.Clay.incorp_20",2.40764336917563,"Bute_Trengrove_2015","Rip mixed","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Clay.incorp_20",2.38720848267623,"Bute_Trengrove_2015","Rip non organic","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Cl@5.incorp_8.Fert.surface.Clay.incorp_8",2.35351851851852,"Bute_Trengrove_2015","Unmodified mixed","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Cl@5.incorp_20.Fert.surface.Clay.incorp_20",2.32719235364397,"Bute_Trengrove_2015","Rip mixed","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Clay.incorp_8",2.30437275985663,"Bute_Trengrove_2015","Unmodified non organic","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Cl@20.incorp_20.Fert.surface.Clay.incorp_20",2.2410513739546,"Bute_Trengrove_2015","Rip mixed","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Cl@20.incorp_20",2.19430406212664,"Bute_Trengrove_2015","Rip animal","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Cl@20.incorp_20.Fert.surface",2.17501792114695,"Bute_Trengrove_2015","Rip mixed","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Cl@20.incorp_8.Fert.surface.Clay.incorp_8",2.12727598566308,"Bute_Trengrove_2015","Unmodified mixed","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Rip.50_Cl@20.incorp_20.Clay.incorp_20",2.01315710872163,"Bute_Trengrove_2015","Rip mixed","Rip","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2015,"Unmodified_Cl@20.incorp_8.Clay.incorp_8",1.9610633213859,"Bute_Trengrove_2015","Unmodified mixed","Unmodified","wheat",0,"decile_2",389.156451612903,1.78732377538829,"trial",0
"Bute_Trengrove",2016,"Rip.50_Cl@20.incorp_20.Fert.surface.Clay.incorp_20",6.54222222222222,"Bute_Trengrove_2016","Rip mixed","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Cl@20.incorp_20.Fert.surface",6.14666666666667,"Bute_Trengrove_2016","Rip mixed","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Cl@20.incorp_20.Clay.incorp_20",5.94222222222222,"Bute_Trengrove_2016","Rip mixed","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Cl@20.incorp_8.Fert.surface.Clay.incorp_8",5.85333333333333,"Bute_Trengrove_2016","Unmodified mixed","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Cl@20.incorp_20",5.85111111111111,"Bute_Trengrove_2016","Rip animal","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Cl@5.incorp_20.Fert.surface",5.84888888888889,"Bute_Trengrove_2016","Rip mixed","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Cl@20.incorp_8",5.66222222222222,"Bute_Trengrove_2016","Unmodified animal","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Cl@20.incorp_8.Fert.surface",5.6,"Bute_Trengrove_2016","Unmodified mixed","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Cl@20.incorp_8.Clay.incorp_8",5.54222222222222,"Bute_Trengrove_2016","Unmodified mixed","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Cl@5.incorp_20.Fert.surface.Clay.incorp_20",5.23111111111111,"Bute_Trengrove_2016","Rip mixed","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Fert.surface.Clay.incorp_20",5.16222222222222,"Bute_Trengrove_2016","Rip mixed","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Cl@5.incorp_8.Fert.surface",4.97555555555556,"Bute_Trengrove_2016","Unmodified mixed","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Cl@5.incorp_8.Fert.surface.Clay.incorp_8",4.84444444444445,"Bute_Trengrove_2016","Unmodified mixed","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Fert.surface",4.82666666666667,"Bute_Trengrove_2016","Rip fertiliser","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Fert.surface",4.52444444444444,"Bute_Trengrove_2016","Unmodified fertiliser","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Fert.surface.Clay.incorp_8",4.44222222222222,"Bute_Trengrove_2016","Unmodified mixed","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Cl@5.incorp_20.Clay.incorp_20",3.75333333333333,"Bute_Trengrove_2016","Rip mixed","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Cl@5.incorp_20",3.6,"Bute_Trengrove_2016","Rip animal","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Cl@5.incorp_8",2.90222222222222,"Bute_Trengrove_2016","Unmodified animal","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_none",2.76888888888889,"Bute_Trengrove_2016","Rip none","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Cl@5.incorp_8.Clay.incorp_8",2.66,"Bute_Trengrove_2016","Unmodified mixed","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Rip.50_Clay.incorp_20",2.59333333333333,"Bute_Trengrove_2016","Rip non organic","Rip","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2016,"Unmodified_Clay.incorp_8",2.08,"Bute_Trengrove_2016","Unmodified non organic","Unmodified","barley",1,"decile_10",389.156451612903,2.14666666666666,"trial",0
"Bute_Trengrove",2017,"Rip.50_Cl@20.incorp_20",1.68222222222222,"Bute_Trengrove_2017","Rip animal","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Cl@5.incorp_20",1.66666666666667,"Bute_Trengrove_2017","Rip animal","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Cl@20.incorp_20.Clay.incorp_20",1.54666666666667,"Bute_Trengrove_2017","Rip mixed","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Cl@5.incorp_20.Clay.incorp_20",1.52444444444444,"Bute_Trengrove_2017","Rip mixed","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Cl@20.incorp_20.Fert.surface.Clay.incorp_20",1.47777777777778,"Bute_Trengrove_2017","Rip mixed","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Cl@20.incorp_20.Fert.surface",1.37777777777778,"Bute_Trengrove_2017","Rip mixed","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Cl@5.incorp_20.Fert.surface.Clay.incorp_20",1.35555555555555,"Bute_Trengrove_2017","Rip mixed","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Cl@5.incorp_20.Fert.surface",1.22888888888889,"Bute_Trengrove_2017","Rip mixed","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_none",1.22,"Bute_Trengrove_2017","Rip none","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Clay.incorp_20",1.09555555555555,"Bute_Trengrove_2017","Rip non organic","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Cl@20.incorp_8.Clay.incorp_8",1.07777777777778,"Bute_Trengrove_2017","Unmodified mixed","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Fert.surface.Clay.incorp_20",1.00333333333333,"Bute_Trengrove_2017","Rip mixed","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Cl@20.incorp_8",0.973333333333335,"Bute_Trengrove_2017","Unmodified animal","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Rip.50_Fert.surface",0.966666666666668,"Bute_Trengrove_2017","Rip fertiliser","Rip","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Cl@20.incorp_8.Fert.surface.Clay.incorp_8",0.777777777777778,"Bute_Trengrove_2017","Unmodified mixed","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Cl@5.incorp_8.Fert.surface.Clay.incorp_8",0.735555555555555,"Bute_Trengrove_2017","Unmodified mixed","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Cl@5.incorp_8.Clay.incorp_8",0.719999999999999,"Bute_Trengrove_2017","Unmodified mixed","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Fert.surface.Clay.incorp_8",0.693333333333334,"Bute_Trengrove_2017","Unmodified mixed","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Cl@20.incorp_8.Fert.surface",0.682222222222222,"Bute_Trengrove_2017","Unmodified mixed","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Cl@5.incorp_8.Fert.surface",0.573333333333333,"Bute_Trengrove_2017","Unmodified mixed","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Cl@5.incorp_8",0.573333333333333,"Bute_Trengrove_2017","Unmodified animal","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Clay.incorp_8",0.544444444444445,"Bute_Trengrove_2017","Unmodified non organic","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2017,"Unmodified_Fert.surface",0.388888888888889,"Bute_Trengrove_2017","Unmodified fertiliser","Unmodified","lentils",2,"decile_3",389.156451612903,0.413333333333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Cl@5.incorp_20.Fert.surface",4.31505926666667,"Bute_Trengrove_2018","Rip mixed","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Cl@20.incorp_20.Fert.surface.Clay.incorp_20",4.23729043333333,"Bute_Trengrove_2018","Rip mixed","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Fert.surface",4.20396093333333,"Bute_Trengrove_2018","Rip fertiliser","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Cl@5.incorp_20",4.1928511,"Bute_Trengrove_2018","Rip animal","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Cl@5.incorp_20.Clay.incorp_20",4.18840716666667,"Bute_Trengrove_2018","Rip mixed","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Cl@20.incorp_20.Fert.surface",4.1395239,"Bute_Trengrove_2018","Rip mixed","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Cl@20.incorp_20",4.00842786666667,"Bute_Trengrove_2018","Rip animal","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Cl@5.incorp_20.Fert.surface.Clay.incorp_20",3.99509606666667,"Bute_Trengrove_2018","Rip mixed","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Cl@20.incorp_20.Clay.incorp_20",3.93510296666667,"Bute_Trengrove_2018","Rip mixed","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Fert.surface.Clay.incorp_20",3.7395699,"Bute_Trengrove_2018","Rip mixed","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_none",3.6795768,"Bute_Trengrove_2018","Rip none","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Rip.50_Clay.incorp_20",3.6462473,"Bute_Trengrove_2018","Rip non organic","Rip","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Fert.surface.Clay.incorp_8",3.6195837,"Bute_Trengrove_2018","Unmodified mixed","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Cl@5.incorp_8.Clay.incorp_8",3.4129408,"Bute_Trengrove_2018","Unmodified mixed","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Clay.incorp_8",3.38849916666667,"Bute_Trengrove_2018","Unmodified non organic","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Cl@5.incorp_8.Fert.surface.Clay.incorp_8",3.3462818,"Bute_Trengrove_2018","Unmodified mixed","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Cl@20.incorp_8.Clay.incorp_8",3.0929776,"Bute_Trengrove_2018","Unmodified mixed","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Cl@5.incorp_8.Fert.surface",3.0129868,"Bute_Trengrove_2018","Unmodified mixed","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Cl@20.incorp_8.Fert.surface.Clay.incorp_8",2.9463278,"Bute_Trengrove_2018","Unmodified mixed","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Fert.surface",2.83522946666667,"Bute_Trengrove_2018","Unmodified fertiliser","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Cl@5.incorp_8",2.7930121,"Bute_Trengrove_2018","Unmodified animal","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Cl@20.incorp_8",2.5730374,"Bute_Trengrove_2018","Unmodified animal","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2018,"Unmodified_Cl@20.incorp_8.Fert.surface",2.52415413333333,"Bute_Trengrove_2018","Unmodified mixed","Unmodified","wheat",3,"decile_2",389.156451612903,2.55748363333333,"trial",0
"Bute_Trengrove",2019,"Rip.50_Cl@20.incorp_20.Fert.surface.Clay.incorp_20",4.34666666666666,"Bute_Trengrove_2019","Rip mixed","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Cl@5.incorp_20.Fert.surface.Clay.incorp_20",3.90666666666667,"Bute_Trengrove_2019","Rip mixed","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Cl@5.incorp_20.Fert.surface",3.83555555555556,"Bute_Trengrove_2019","Rip mixed","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Fert.surface",3.81555555555556,"Bute_Trengrove_2019","Rip fertiliser","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Cl@20.incorp_20.Fert.surface",3.47111111111111,"Bute_Trengrove_2019","Rip mixed","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Cl@20.incorp_20",3.44,"Bute_Trengrove_2019","Rip animal","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Fert.surface",3.36888888888889,"Bute_Trengrove_2019","Unmodified fertiliser","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Fert.surface.Clay.incorp_20",3.27111111111111,"Bute_Trengrove_2019","Rip mixed","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Cl@20.incorp_20.Clay.incorp_20",3.17777777777778,"Bute_Trengrove_2019","Rip mixed","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Cl@20.incorp_8.Fert.surface.Clay.incorp_8",3.13111111111111,"Bute_Trengrove_2019","Unmodified mixed","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Cl@5.incorp_8.Fert.surface",3.00444444444445,"Bute_Trengrove_2019","Unmodified mixed","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Cl@20.incorp_8.Clay.incorp_8",3,"Bute_Trengrove_2019","Unmodified mixed","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Fert.surface.Clay.incorp_8",2.90888888888889,"Bute_Trengrove_2019","Unmodified mixed","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Cl@20.incorp_8.Fert.surface",2.84222222222222,"Bute_Trengrove_2019","Unmodified mixed","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Cl@5.incorp_20.Clay.incorp_20",2.78444444444444,"Bute_Trengrove_2019","Rip mixed","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Cl@5.incorp_20",2.73,"Bute_Trengrove_2019","Rip animal","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Cl@5.incorp_8.Fert.surface.Clay.incorp_8",2.65777777777778,"Bute_Trengrove_2019","Unmodified mixed","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Cl@20.incorp_8",2.55111111111111,"Bute_Trengrove_2019","Unmodified animal","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_none",2.36,"Bute_Trengrove_2019","Rip none","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Rip.50_Clay.incorp_20",2.19777777777778,"Bute_Trengrove_2019","Rip non organic","Rip","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Cl@5.incorp_8.Clay.incorp_8",2.01777777777778,"Bute_Trengrove_2019","Unmodified mixed","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Cl@5.incorp_8",1.82666666666667,"Bute_Trengrove_2019","Unmodified animal","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2019,"Unmodified_Clay.incorp_8",1.81555555555556,"Bute_Trengrove_2019","Unmodified non organic","Unmodified","barley",4,"decile_1",389.156451612903,1.52444444444444,"trial",0
"Bute_Trengrove",2020,"Rip.50_Cl@20.incorp_20",1.69333333333333,"Bute_Trengrove_2020","Rip animal","Rip","lentils",5,"decile_6",389.156451612903,0.590804597701149,"trial",0
"Bute_Trengrove",2020,"Rip.50_Cl@20.incorp_20.Fert.surface.Clay.incorp_20",1.39080459770115,"Bute_Trengrove_2020","Rip mixed","Rip","lentils",5,"decile_6",389.156451612903,0.590804597701149,"trial",0
"Bute_Trengrove",2020,"Rip.50_Cl@5.incorp_20",1.33555555555555,"Bute_Trengrove_2020","Rip animal","Rip","lentils",5,"decile_6",389.156451612903,0.590804597701149,"trial",0
"Bute_Trengrove",2020,"Rip.50_Cl@20.incorp_20.Clay.incorp_20",1.30666666666667,"Bute_Trengrove_2020","Rip mixed","Rip","lentils",5,"decile_6",389.156451612903,0.590804597701149,"trial",0
"Bute_Trengrove",2020,"Rip.50_Cl@5.incorp_20.Fert.surface",1.29777777777778,"Bute_Trengrove_2020","Rip mixed","Rip","lentils",5,"decile_6",389.156451612903,0.590804597701149,"trial",0
"Bute_Trengrove",2020,"Rip.50_Cl@20.incorp_20.Fert.surface",1.26444444444444,"Bute_Trengrove_2020","Rip mixed","Rip","lentils",5,"decile_6",389.156451612903,0.590804597701149,"trial",0
