site,Descriptors,detailed_name,New names of Descriptors
Yenda,Unmodified_Cl@3.incorp_8,chicken litter at 3t/ha incorporated 8cm,ChickL@3.incorp_8
Bute_Trengrove,Unmodified_Cl@5.incorp_8,chicken litter at 5t/ha incorporated 8cm,ChickL@5.incorp_8
Bute_Trengrove,Unmodified_Cl@5.incorp_8.Fert.surface,chicken litter at 5t/ha incorporated 8cm and fertiliser applied at surface,ChickL@5.incorp_8.Fert.surface
Bute_Trengrove,Unmodified_Cl@5.incorp_8.Clay.incorp_8,chicken litter at 5t/ha and clay incorporated 8cm,ChickL@5.incorp_8.Clay.incorp_8
Bute_Trengrove,Unmodified_Cl@5.incorp_8.Fert.surface.Clay.incorp_8,chicken litter at 5t/ha and fertiliser and clay incorporated 8cm,ChickL@5.incorp_8.Fert.surface.Clay.incorp_8
Bute_CSIRO,Unmodified_Cl@7.5.surface,chicken litter at 7.5t/ha applied surface,ChickL@7.5.surface
Bute_Trengrove,Unmodified_Cl@20.incorp_8,chicken litter at 20t/ha incorporated 8cm,ChickL@20.incorp_8
Bute_Trengrove,Unmodified_Cl@20.incorp_8.Fert.surface,chicken litter at 20t/ha and fertiliser applied at surface,ChickL@20.incorp_8.Fert.surface
Bute_Trengrove,Unmodified_Cl@20.incorp_8.Clay.incorp_8,chicken litter at 20t/ha and clay incorporated 8cm,ChickL@20.incorp_8.Clay.incorp_8
Bute_Trengrove,Unmodified_Cl@20.incorp_8.Fert.surface.Clay.incorp_8,chicken litter at 20t/ha and fertiliser and clay incorporated 8cm,ChickL@20.incorp_8.Fert.surface.Clay.incorp_8
Yenda,Unmodified_Fert.foliar,fertiliser applied to foliar,Fert.foliar
Bute_Trengrove,Unmodified_Fert.surface,fertiliser applied surface,Fert.surface
Yenda,Unmodified_Fert.incorp_8,fertiliser incorporated 8cm,Fert.incorp_8
Waikerie,Unmodified_Fert.band_8,fertiliser banded 8cm,Fert.band_8
Brooker,Unmodified_K_added.surface,potassium applied surface,K_added.surface
Brimpton Lake,Unmodified_Fert.band_30,fertiliser banded 30cm,Fert.band_30
Cadgee,Unmodified_Fert.band_30,fertiliser banded 30cm,Fert.band_30
Karoonda,Unmodified_Fert.band_30,fertiliser banded 30cm,Fert.band_30
Bute_Trengrove,Unmodified_Fert.surface.Clay.incorp_8,fertiliser and clay incorporated 8cm,Fert.surface.Clay.incorp_8
Brimpton Lake,Unmodified_Fert.band_30.Clay.incorp_10,fertiliser banded 30cm and clay incorporated 10cm,Fert.band_30.Clay.incorp_10
Cadgee,Unmodified_Fert.band_30.Clay.incorp_10,fertiliser banded 30cm and clay incorporated 10cm,Fert.band_30.Clay.incorp_10
Karoonda,Unmodified_Fert.band_30.Clay.incorp_10,fertiliser banded 30cm and clay incorporated 10cm,Fert.band_30.Clay.incorp_10
Bute_Trengrove,Unmodified_Clay.incorp_8,clay incorporated 8cm,Clay.incorp_8
Brimpton Lake,Unmodified_Clay.incorp_10,clay incorporated 10cm,Clay.incorp_10
Cadgee,Unmodified_Clay.incorp_10,clay incorporated 10cm,Clay.incorp_10
Karoonda,Unmodified_Clay.incorp_10,clay incorporated 10cm,Clay.incorp_10
Ouyen_Placement,Unmodified_none.Fert.surface,growers standard fertiliser to surface with no additional amendments,Fert.surface
Ouyen_Placement,Pre_drill_20+7.5_none,Pre drill to depth 20cm with growers standard fertiliser to 7.5cm with no additional amendments,Pre_drill_20+7.5
Ouyen_Placement,Pre_drill_20+7.5_none_annual,Pre drill to depth 20cm with growers standard fertiliser to 7.5cm with no additional amendments annually,Pre_drill_20+7.5_annual
Ouyen_Placement,Pre_drill_20+20_none,Pre drill to depth 20cm with growers standard fertiliser to 20cm with no additional amendments,Pre_drill_20+20
Ouyen_Placement,Pre_drill_20+20_none_annual,Pre drill to depth 20cm with growers standard fertiliser to 20cm with no additional amendments performed annually,Pre_drill_20+20_annual
Ouyen_Placement,Pre_drill_20+20_Fert.banded_20,Pre drill to depth 20cm with growers standard fertiliser to 20cm with fertiliser banded at 20cm,Pre_drill_20+20_Fert.banded_20
Ouyen_Placement,Pre_drill_20+20_Fert.banded_20_annual,Pre drill to depth 20cm with growers standard fertiliser to 20cm with fertiliser banded at 20cm annually ,Pre_drill_20+20_Fert.banded_20_annual
Wynarka,Spade.30_none,spade 30cm with no amendments,Spade.30
Monia_Gap,Spade.30_none,spade 30cm with no amendments,Spade.30
Malinong,Spade.30_none,spade 30cm with no amendments,Spade.30
Sherwood,Spade.30_none,spade 30cm with no amendments,Spade.30
Mt Damper,Spade.30_none,spade 30cm with no amendments,Spade.30
Kybunga,Spade.30_none,spade 30cm with no amendments,Spade.30
Warnertown,Spade.30_none,spade 30cm with no amendments,Spade.30
Brooker,Spade.30_none,spade 30cm with no amendments,Spade.30
Carwarp_Amelioration,Spade.30_none,spade 30cm with no amendments,Spade.30
Murlong,Spade.30_none,spade 30cm with no amendments,Spade.30
Brimpton Lake,Spade.30_none,spade 30cm with no amendments,Spade.30
Cadgee,Spade.30_none,spade 30cm with no amendments,Spade.30
Karoonda,Spade.30_none,spade 30cm with no amendments,Spade.30
Ouyen_Spade,Spade.30_none,spade 30cm with no amendments,Spade.30
Younghusband,Spade.30_none,spade 30cm with no amendments,Spade.30
Brooker,Spade.30_Lc@1.incorp_30,spade 30cm with lucerne at 1t/ha incorporated 30cm,Spade.30_Luc@1.incorp_30
Brooker,Spade.30_Lc@2.incorp_30,spade 30cm with lucerne at 2t/ha incorporated 30cm,Spade.30_Luc@2.incorp_30
Brooker,Spade.30_Lc@4.incorp_30,spade 30cm with lucerne at 4t/ha incorporated 30cm,Spade.30_Luc@4.incorp_30
Brooker,Spade.30_Lc@6.incorp_30,spade 30cm with lucerne at 6t/ha incorporated 30cm,Spade.30_Luc@6.incorp_30
Brooker,Spade.30_Lc@8.incorp_30,spade 30cm with lucerne at 8t/ha incorporated 30cm,Spade.30_Luc@8.incorp_30
Brooker,Spade.30_Lc@10.incorp_30,spade 30cm with lucerne at 10t/ha incorporated 30cm,Spade.30_Luc@10.incorp_30
Brooker,Spade.30_Lc@15.incorp_30,spade 30cm with lucerne at 15t/ha incorporated 30cm,Spade.30_Luc@15.incorp_30
Brooker,Spade.30_Lc@20.incorp_30,spade 30cm with lucerne at 20t/ha incorporated 30cm,Spade.30_Luc@20.incorp_30
Brooker,Spade.30_Lc@1.incorp_30.K_added.surface,spade 30cm with lucerne at 1t/ha incorporated 30cm and potassium applied at surface,Spade.30_Luc@1.incorp_30.K_added.surface
Brooker,Spade.30_Lc@2.incorp_30.K_added.surface,spade 30cm with lucerne at 2t/ha incorporated 30cm and potassium applied at surface,Spade.30_Luc@2.incorp_30.K_added.surface
Brooker,Spade.30_Lc@4.incorp_30.K_added.surface,spade 30cm with lucerne at 4t/ha incorporated 30cm and potassium applied at surface,Spade.30_Luc@4.incorp_30.K_added.surface
Brooker,Spade.30_Lc@6.incorp_30.K_added.surface,spade 30cm with lucerne at 6t/ha incorporated 30cm and potassium applied at surface,Spade.30_Luc@6.incorp_30.K_added.surface
Brooker,Spade.30_Lc@8.incorp_30.K_added.surface,spade 30cm with lucerne at 8t/ha incorporated 30cm and potassium applied at surface,Spade.30_Luc@8.incorp_30.K_added.surface
Brooker,Spade.30_Lc@10.incorp_30.K_added.surface,spade 30cm with lucerne at 10t/ha incorporated 30cm and potassium applied at surface,Spade.30_Luc@10.incorp_30.K_added.surface
Brooker,Spade.30_Lc@15.incorp_30.K_added.surface,spade 30cm with lucerne at 15t/ha incorporated 30cm and potassium applied at surface,Spade.30_Luc@15.incorp_30.K_added.surface
Brooker,Spade.30_Lc@20.incorp_30.K_added.surface,spade 30cm with lucerne at 20t/ha incorporated 30cm and potassium applied at surface,Spade.30_Luc@20.incorp_30.K_added.surface
Carwarp_Amelioration,Spade.30_Lc.incorp_30,spade 30cm with lucerne incorporated 30cm,Spade.30_Luc.incorp_30
Murlong,Spade.30_Lc.incorp_30,spade 30cm with lucerne incorporated 30cm,Spade.30_Luc.incorp_30
Brimpton Lake,Spade.30_Lc.incorp_30,spade 30cm with lucerne incorporated 30cm,Spade.30_Luc.incorp_30
Cadgee,Spade.30_Lc.incorp_30,spade 30cm with lucerne incorporated 30cm,Spade.30_Luc.incorp_30
Karoonda,Spade.30_Lc.incorp_30,spade 30cm with lucerne incorporated 30cm,Spade.30_Luc.incorp_30
Brimpton Lake,Spade.30_Lc.incorp_30.Fert.incorp_30,spade 30cm with lucerne and fertiliser incorporated 30cm,Spade.30_Luc.incorp_30.Fert.incorp_30
Cadgee,Spade.30_Lc.incorp_30.Fert.incorp_30,spade 30cm with lucerne and fertiliser incorporated 30cm,Spade.30_Luc.incorp_30.Fert.incorp_30
Karoonda,Spade.30_Lc.incorp_30.Fert.incorp_30,spade 30cm with ulcerous and fertiliser incorporated 30cm,Spade.30_Luc.incorp_30.Fert.incorp_30
Brimpton Lake,Spade.30_Lc.incorp_30.Clay.incorp_30,spade 30cm with lucerne and clay incorporated 30cm,Spade.30_Luc.incorp_30.Clay.incorp_30
Cadgee,Spade.30_Lc.incorp_30.Clay.incorp_30,spade 30cm with lucerne and clay incorporated 30cm,Spade.30_Luc.incorp_30.Clay.incorp_30
Karoonda,Spade.30_Lc.incorp_30.Clay.incorp_30,spade 30cm with lucerne and clay incorporated 30cm,Spade.30_Luc.incorp_30.Clay.incorp_30
Brimpton Lake,Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30,spade 30cm with ulcerous and fertiliser and clay incorporated 30cm,Spade.30_Luc.incorp_30.Fert.incorp_30.Clay.incorp_30
Cadgee,Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30,spade 30cm with lucerne and fertiliser and clay incorporated 30cm,Spade.30_Luc.incorp_30.Fert.incorp_30.Clay.incorp_30
Karoonda,Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30,spade 30cm with ulcerous and fertiliser and clay incorporated 30cm,Spade.30_Luc.incorp_30.Fert.incorp_30.Clay.incorp_30
Monia_Gap,Spade.30_Cl.incorp_30,spade 30cm with chicken litter incorporated 30cm,Spade.30_ChickL.incorp_30
Kybunga,Spade.30_Cl.incorp_30,spade 30cm with chicken litter incorporated 30cm,Spade.30_ChickL.incorp_30
Ouyen_Spade,Spade.30_Cl.incorp_30,spade 30cm with chicken litter incorporated 30cm,Spade.30_ChickL.incorp_30
Monia_Gap,Spade.30_Cl.incorp_30.Gypsum.incorp_30,spade 30cm with chicken litter and gypsum incorporated 30cm,Spade.30_ChickL.incorp_30.Gypsum.incorp_30
Brimpton Lake,Spade.30_Fert.incorp_30.Clay.incorp_30,spade 30cm with fertiliser and clay incorporated 30cm,Spade.30_Fert.incorp_30.Clay.incorp_30
Cadgee,Spade.30_Fert.incorp_30.Clay.incorp_30,spade 30cm with fertiliser and clay incorporated 30cm,Spade.30_Fert.incorp_30.Clay.incorp_30
Karoonda,Spade.30_Fert.incorp_30.Clay.incorp_30,spade 30cm with fertiliser and clay incorporated 30cm,Spade.30_Fert.incorp_30.Clay.incorp_30
Ouyen_Spade,Spade.30_Com.incorp_30,spade 30cm with compost incorporated 30cm,Spade.30_Com.incorp_30
Ouyen_Spade,Spade.30_Cereal.incorp_30,spade 30cm with cereal incorporated 30cm,Spade.30_Cereal.incorp_30
Ouyen_Spade,Spade.30_Vetch.incorp_30,spade 30cm with vetch incorporated 30cm,Spade.30_Vetch.incorp_30
Ouyen_Spade,Spade.30_Vet_Cer.incorp_30,spade 30cm with vetch and cereal incorporated 30cm,Spade.30_Vet_Cer.incorp_30
Ouyen_Spade,Spade.30_Vet_Cer_In.incorp_30,spade 30cm with vetch and cereal and inoculant incorporated 30cm,Spade.30_Vet_Cer_In.incorp_30
Brooker,Spade.30_K_added.surface,spade 30cm with potassium applied at surface,Spade.30_K_added.surface
Sherwood,Spade.30_Fert.incorp_30,spade 30cm with fertiliser incorporated 30cm,Spade.30_Fert.incorp_30
Brooker,Spade.30_Fert.incorp_30,spade 30cm with fertiliser incorporated 30cm,Spade.30_Fert.incorp_30
Murlong,Spade.30_Fert.incorp_30,spade 30cm with fertiliser incorporated 30cm,Spade.30_Fert.incorp_30
Brimpton Lake,Spade.30_Fert.incorp_30,spade 30cm with fertiliser incorporated 30cm,Spade.30_Fert.incorp_30
Cadgee,Spade.30_Fert.incorp_30,spade 30cm with fertiliser incorporated 30cm,Spade.30_Fert.incorp_30
Karoonda,Spade.30_Fert.incorp_30,spade 30cm with fertiliser incorporated 30cm,Spade.30_Fert.incorp_30
Ouyen_Spade,Spade.30_Fert.incorp_30,spade 30cm with fertiliser incorporated 30cm,Spade.30_Fert.incorp_30
Brooker,Spade.30_Fert.incorp_30.K_added.incorp_30,spade 30cm with fertiliser and potassium incorporated 30cm,Spade.30_Fert.incorp_30.K_added.incorp_30
Telopea_Downs,Spade.30_Clay@250.incorp_30,spade 30cm with clay at 250t/ha,Spade.30_Clay@250.incorp_30
Telopea_Downs,"Spade.30_Clay@500.incorp_30_Yr07,20",spade 30cm with clay at 250t/ha in years 2007 and 2020,"Spade.30_Clay@500.incorp_30_Yr07,20"
Brimpton Lake,Spade.30_Clay.incorp_30,spade 30cm with clay incorporated 30cm,Spade.30_Clay.incorp_30
Cadgee,Spade.30_Clay.incorp_30,spade 30cm with clay incorporated 30cm,Spade.30_Clay.incorp_30
Karoonda,Spade.30_Clay.incorp_30,spade 30cm with clay incorporated 30cm,Spade.30_Clay.incorp_30
Monia_Gap,Spade.30_Gypsum.incorp_30,spade 30cm with gypsum incorporated 30cm,Spade.30_Gypsum.incorp_30
Wynarka,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Malinong,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Sherwood,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Cummins,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Kybunga,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Warnertown,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Bute_CSIRO,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Carwarp_Amelioration,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Murlong,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Waikerie,Rip.30_none,Ripping to 30cm with no amendments,Rip.30
Buckleboo,Rip.35_none,Ripping to 35cm with no amendments,Rip.35
Waikerie,Rip.30_Cl.surface,Ripping to 30cm with chicken litter applied at surface,Rip.30_ChickL.surface
Bute_CSIRO,Rip.30_Cl@7.5.surface,Ripping to 30cm with chicken litter @ 7.5t/ha applied at surface,Rip.30_ChickL@7.5.surface
Waikerie,Rip.30_Cl.band_30,Ripping to 30cm with chicken litter banded at 30cm,Rip.30_ChickL.band_30
Bute_CSIRO,Rip.30_Cl@7.5.band_30,Ripping to 30cm with chicken litter @ 7.5t/ha banded at 30cm,Rip.30_ChickL@7.5.band_30
Murlong,Rip.30_Lc.incorp_30,Ripping to 30cm with lucerne incorporated 30cm,Rip.30_Luc.incorp_30
Carwarp_Amelioration,Rip.30_Lc.band_30,Ripping to 30cm with lucerne banded 30cm,Rip.30_Luc.band_30
Sherwood,Rip.30_Fert.surface,Ripping to 30cm with fertiliser applied at surface,Rip.30_Fert.surface
Murlong,Rip.30_Fert.incorp_30,Ripping to 30cm with fertiliser incorporated 30cm,Rip.30_Fert.incorp_30
Waikerie,Rip.30_Fert.band_8,Ripping to 30cm with fertiliser banded at 8cm,Rip.30_Fert.band_8
Waikerie,Rip.30_Fert.band_30,Ripping to 30cm with fertiliser banded at 30cm,Rip.30_Fert.band_30
Cummins,Rip.30IncRip_none,Ripping to 30cm and inclusion with no amendments,Rip.30IncRip
Carwarp_Amelioration,Rip.30+60_none,Ripping to 30cm and 60cm with no amendments,Rip.30+60
Cummins,Rip.30IncRip_Gypsum.incorp_30,Ripping to 30cm and inclusion with Gypsum incorporated 30cm,Rip.30IncRip_Gypsum.incorp_30
Carwarp_Amelioration,Rip.30+60_Lc.band_30+60,Ripping to 30cm and 60cm with lucerne banded 30cm and 60cm,Rip.30+60_Luc.band_30+60
Ouyen_Placement,Rip_30+7.5_none,Ripping to 30cm with growers standard fertiliser to 7.5cm with no amendments ,Rip_30+7.5
Ouyen_Placement,Rip_30+7.5_none_annual,Ripping to 30cm with growers standard fertiliser to 7.5cm with no amendments annually,Rip_30+7.5_annual
Ouyen_Placement,Rip_30+30_none,Ripping to 30cm and 30cm with no amendments annually,Rip_30+30
Ouyen_Placement,Rip_30+30_none_annual,Ripping to 30cm with growers standard fertiliser to 30cm with no amendments annually,Rip_30+30_annual
Ouyen_Placement,Rip_30+30_Fert.banded_30,Ripping to 30cm with growers standard fertiliser to 30cm with fertiliser banded 30cm,Rip_30+30_Fert.banded_30
Ouyen_Placement,Rip_30+30_Fert.banded_30_annual,Ripping to 30cm with growers standard fertiliser to 30cm with fertiliser banded 30cm annually,Rip_30+30_Fert.banded_30_annual
Yenda,Sweep.30_none,sweep 30cm with no amendments,Sweep.30
Yenda,Sweep.30_Cl@3.incorp_30,sweep 30cm with chicken litter at 3t/ha incorporated 30cm,Sweep.30_ChickL@3.incorp_30
Yenda,Sweep.30_Cl@6.incorp_30,sweep 30cm with chicken litter at 6t/ha incorporated 30cm,Sweep.30_ChickL@6.incorp_30
Yenda,Sweep.30_Cl@9.incorp_30,sweep 30cm with chicken litter at 9t/ha incorporated 30cm,Sweep.30_ChickL@9.incorp_30
Yenda,"Sweep.30_Cl@9.incorp_30_Yr17,18,19","sweep 30cm with chicken litter at 9t/ha incorporated 30cm applied 2017, 2018, 2019","Sweep.30_ChickL@9.incorp_30_Yr17,18,19"
Yenda,Sweep.30_Lime.incorp_30,sweep 30cm with lime incorporated 30cm,Sweep.30_Lime.incorp_30
Yenda,Sweep.30_Cl@3.incorp_30.Lime.incorp_8,sweep 30cm with chicken litter at 3t/ha incorporated 30cm and lime incorporated 8cm,Sweep.30_ChickL@3.incorp_30.Lime.incorp_8
Malinong,Rip.40_none,Ripping to 40cm with no amendments,Rip.40
Karkoo,Rip.40_none,Ripping to 40cm with no amendments,Rip.40
Lowaldie_Crest,Rip.40_none,Ripping to 40cm with no amendments,Rip.40
Lowaldie_Deep sand,Rip.40_none,Ripping to 40cm with no amendments,Rip.40
Murlong,Rip.40_none,Ripping to 40cm with no amendments,Rip.40
Karkoo,Rip.40IncRip_none,Ripping to 40cm and inclusion with no amendments,Rip.40IncRip
Karkoo,Rip.40IncRip_Lc.incorp_40,Ripping to 40cm and inclusion with chicken litter incorporated 40cm,Rip.40IncRip_Luc.incorp_40
Murlong,Rip.40_Lc.incorp_40,Ripping to 40cm with lucerne incorporated 40cm,Rip.40_Luc.incorp_40
Murlong,Rip.40_Fert.incorp_40,Ripping to 40cm with fertiliser incorporated 40cm,Rip.40_Fert.incorp_40
Buckleboo,Rip.45_none,Ripping to 45cm with no amendments,Rip.45
Buckleboo,Rip.45IncRip_none,Ripping to 45cm and inclusion with no amendments,Rip.45IncRip
Mt Damper,Rip.45IncRip_none,Ripping to 45cm and inclusion with no amendments,Rip.45IncRip
Mt Damper,Rip.45IncRip+Spade.30_none,Ripping to 45cm and inclusion and spading 30cm with no amendments,Rip.45IncRip+Spade.30
Mt Damper,Rip.45IncRip_Fert.incorp_45,Ripping to 45cm and inclusion with fertiliser banded 45cm,Rip.45IncRip_Fert.incorp_45
Buckleboo,Rip.45IncRip_Fert_Low.band_45,Ripping to 45cm and inclusion with fertiliser (low rate) banded 45cm,Rip.45IncRip_Fert_Low.band_45
Buckleboo,Rip.45IncRip_Fert_High.band_45,Ripping to 45cm and inclusion with fertiliser (high rate) banded 45cm,Rip.45IncRip_Fert_High.band_45
Buckleboo,Rip.45IncRip_Fert_APP.band_45,Ripping to 45cm and inclusion with fertiliser (app) banded 45cm,Rip.45IncRip_Fert_APP.band_45
Kooloonong_chickpea,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Kooloonong_lentil,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Kooloonong_lupin,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Tempy,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Kybunga,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Warnertown,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Kooloonong_canola,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Bute_CSIRO,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Bute_Trengrove,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Younghusband,Rip.50_none,Ripping to 50cm with no amendments,Rip.50
Kooloonong_chickpea,Rip.50_Cl.surface,Ripping to 50cm with chicken litter applied surface,Rip.50_ChickL.surface
Kooloonong_lentil,Rip.50_Cl.surface,Ripping to 50cm with chicken litter applied surface,Rip.50_ChickL.surface
Kooloonong_lupin,Rip.50_Cl.surface,Ripping to 50cm with chicken litter applied surface,Rip.50_ChickL.surface
Tempy,Rip.50_Cl.surface,Ripping to 50cm with chicken litter applied surface,Rip.50_ChickL.surface
Kybunga,Rip.50_Cl.surface,Ripping to 50cm with chicken litter applied surface,Rip.50_ChickL.surface
Kooloonong_canola,Rip.50_Cl.surface,Ripping to 50cm with chicken litter applied surface,Rip.50_ChickL.surface
Bute_CSIRO,"Rip.50_Cl@2.5.surface_Yr18,19,20","Ripping to 50cm with chicken litter at 2.5t/ha applied at surface in years 2018, 2019, 2020","Rip.50_ChickL@2.5.surface_Yr18,19,20"
Bute_CSIRO,Rip.50_Cl@7.5.surface,Ripping to 50cm with chicken litter at 7.5t/ha applied at surface,Rip.50_ChickL@7.5.surface
Bute_Trengrove,Rip.50_Cl@5.incorp_20,Ripping to 50cm with chicken litter at 5t/ha incorporated 20 cm,Rip.50_ChickL@5.incorp_20
Bute_CSIRO,Rip.50_Cl@7.5.band_50,Ripping to 50cm with chicken litter at 7.5t/ha banded 50cm,Rip.50_ChickL@7.5.band_50
Bute_Trengrove,Rip.50_Cl@20.incorp_20,Ripping to 50cm with chicken litter at 20t/ha incorporated 20 cm,Rip.50_ChickL@20.incorp_20
Bute_Trengrove,Rip.50_Cl@5.incorp_20.Fert.surface,Ripping to 50cm with chicken litter at 5t/ha incorporated 20 cm and fertiliser applied at surface,Rip.50_ChickL@5.incorp_20.Fert.surface
Bute_Trengrove,Rip.50_Cl@5.incorp_20.Clay.incorp_20,Ripping to 50cm with chicken litter at 5t/ha incorporated 20 cm and clay incorporated 20cm,Rip.50_ChickL@5.incorp_20.Clay.incorp_20
Bute_Trengrove,Rip.50_Cl@5.incorp_20.Fert.surface.Clay.incorp_20,Ripping to 50cm with chicken litter at 5t/ha incorporated 20 cm and fertiliser applied at surface and clay incorporated 20cm,Rip.50_ChickL@5.incorp_20.Fert.surface.Clay.incorp_20
Bute_Trengrove,Rip.50_Cl@20.incorp_20.Fert.surface,Ripping to 50cm with chicken litter at 20t/ha incorporated 20 cm and fertiliser applied at surface,Rip.50_ChickL@20.incorp_20.Fert.surface
Bute_Trengrove,Rip.50_Cl@20.incorp_20.Clay.incorp_20,Ripping to 50cm with chicken litter at 20t/ha incorporated 20 cm and clay incorporated 20cm,Rip.50_ChickL@20.incorp_20.Clay.incorp_20
Bute_Trengrove,Rip.50_Cl@20.incorp_20.Fert.surface.Clay.incorp_20,Ripping to 50cm with chicken litter at 20t/ha incorporated 20 cm and fertiliser applied at surface and clay incorporated 20cm,Rip.50_ChickL@20.incorp_20.Fert.surface.Clay.incorp_20
Bute_Trengrove,Rip.50_Fert.surface,Ripping to 50cm with fertiliser applied at surface,Rip.50_Fert.surface
Bute_Trengrove,Rip.50_Clay.incorp_20,Ripping to 50cm with clay incorporated 20cm,Rip.50_Clay.incorp_20
Bute_Trengrove,Rip.50_Fert.surface.Clay.incorp_20,Ripping to 50cm with fertiliser applied at surface and clay incorporated 20cm,Rip.50_Fert.surface.Clay.incorp_20
Kybunga,Rip.50Spade.30_none,Ripping to 50cm and spading 30cm with no amendments,Rip.50Spade.30
Tempy,Rip.50IncRip_none,Ripping to 50cm and inclusion with no amendments,Rip.50IncRip
Warnertown,Rip.50IncRip_none,Ripping to 50cm and inclusion with no amendments,Rip.50IncRip
Bute_CSIRO,Rip.50IncRip_none,Ripping to 50cm and inclusion with no amendments,Rip.50IncRip
Younghusband,Rip.50IncRip_none,Ripping to 50cm and inclusion with no amendments,Rip.50IncRip
Tempy,Rip.50IncRip_Cl.surface,Ripping to 50cm and inclusion with chicken litter applied surface,Rip.50IncRip_ChickL.surface
Bute_CSIRO,Rip.50IncRip_Cl@7.5.incorp_50,Ripping to 50cm and inclusion with chicken litter incorporated 50cm,Rip.50IncRip_ChickL@7.5.incorp_50
Wynarka,Rip.60_none,Ripping to 60cm with no amendments,Rip.60
Carwarp_Amelioration,Rip.60_none,Ripping to 60cm with no amendments,Rip.60
Lowaldie_Crest,Rip.60_none,Ripping to 60cm with no amendments,Rip.60
Lowaldie_Deep sand,Rip.60_none,Ripping to 60cm with no amendments,Rip.60
Waikerie,Rip.60_none,Ripping to 60cm with no amendments,Rip.60
Yenda,Rip.60_none,Ripping to 60cm with no amendments,Rip.60
Waikerie,Rip.60_Cl.surface,Ripping to 60cm with chicken litter applied at surface,Rip.60_ChickL.surface
Waikerie,Rip.60_Cl.band_60,Ripping to 60cm with chicken litter banded 60cm,Rip.60_ChickL.band_60
Carwarp_Amelioration,Rip.60_Lc.band_60,Ripping to 60cm with lucerne banded 60cm,Rip.60_Luc.band_60
Waikerie,Rip.60_Fert.band_8,Ripping to 60cm with fertiliser banded 8cm,Rip.60_Fert.band_8
Waikerie,Rip.60_Fert.band_60,Ripping to 60cm with fertiliser banded 60cm,Rip.60_Fert.band_60
