"site","Descriptors","detailed_name","order_rank","New.names.of.Descriptors"
"Bute_Trengrove","Unmodified_Cl@20.incorp_8.Fert.surface","chicken litter at 20t/ha and fertiliser applied at surface",15,"ChickL@20.incorp_8.Fert.surface"
"Bute_Trengrove","Rip.50_Cl@20.incorp_20.Clay.incorp_20","Ripping to 50cm with chicken litter at 20t/ha incorporated 20 cm and clay incorporated 20cm",124,"Rip.50_ChickL@20.incorp_20.Clay.incorp_20"
"Bute_Trengrove","Rip.50_Cl@5.incorp_20","Ripping to 50cm with chicken litter at 5t/ha incorporated 20 cm",117,"Rip.50_ChickL@5.incorp_20"
"Bute_Trengrove","Rip.50_Cl@5.incorp_20.Fert.surface.Clay.incorp_20","Ripping to 50cm with chicken litter at 5t/ha incorporated 20 cm and fertiliser applied at surface and clay incorporated 20cm",122,"Rip.50_ChickL@5.incorp_20.Fert.surface.Clay.incorp_20"
"Bute_Trengrove","Rip.50_Clay.incorp_20","Ripping to 50cm with clay incorporated 20cm",127,"Rip.50_Clay.incorp_20"
"Bute_Trengrove","Rip.50_Cl@20.incorp_20","Ripping to 50cm with chicken litter at 20t/ha incorporated 20 cm",119,"Rip.50_ChickL@20.incorp_20"
"Carwarp_Amelioration","Spade.30_Lc.incorp_30","spade 30cm with lucerne incorporated 30cm",52,"Spade.30_Luc.incorp_30"
"Carwarp_Amelioration","Spade.30_none","spade 30cm with no amendments",35,"Spade.30"
"Carwarp_Amelioration","Rip.60Spade.30_Lc.incorp_30+band_60","Ripping to 60cm and spading 30cm with lucerne incorporated 30cm and banded 60cm",143,"Rip.60Spade.30_Luc.incorp_30+band_60"
"Carwarp_Amelioration","Rip.60Spade.30_none","Ripping to 60cm and spading 30cm with no amendments",141,"Rip.60Spade.30"
"Carwarp_Amelioration","Rip.30+60_none","Ripping to 30cm and 60cm with no amendments",84,"Rip.30+60"
"Carwarp_Amelioration","Rip.30+60_Lc.band_30+60","Ripping to 30cm and 60cm with lucerne banded 30cm and 60cm",86,"Rip.30+60_Luc.band_30+60"
"Carwarp_Amelioration","Rip.60_Lc.band_60","Ripping to 60cm with lucerne banded 60cm",138,"Rip.60_Luc.band_60"
"Carwarp_Amelioration","Rip.60_none","Ripping to 60cm with no amendments",134,"Rip.60"
"Carwarp_Amelioration","Rip.30_none","Ripping to 30cm with no amendments",71,"Rip.30"
"Carwarp_Amelioration","Rip.30_Lc.band_30","Ripping to 30cm with lucerne banded 30cm",78,"Rip.30_Luc.band_30"
"Carwarp_Amelioration","Control","Control",1,"Control"
"Carwarp_Amelioration","Unmodified_Lc.surface","lucerne applied surface",5,"Luc.surface"
"Lowaldie_Crest","Control","Control",1,"Control"
"Lowaldie_Crest","Rip.40_none","Ripping to 40cm with no amendments",100,"Rip.40"
"Lowaldie_Crest","Rip.60_none","Ripping to 60cm with no amendments",134,"Rip.60"
"Lowaldie_Deep sand","Control","Control",1,"Control"
"Lowaldie_Deep sand","Rip.40_none","Ripping to 40cm with no amendments",100,"Rip.40"
"Lowaldie_Deep sand","Rip.60_none","Ripping to 60cm with no amendments",134,"Rip.60"
"Murlong","Rip.40_none","Ripping to 40cm with no amendments",100,"Rip.40"
"Murlong","Rip.30_Lc.incorp_30","Ripping to 30cm with lucerne incorporated 30cm",77,"Rip.30_Luc.incorp_30"
"Murlong","Rip.30_Fert.incorp_30","Ripping to 30cm with fertiliser incorporated 30cm",80,"Rip.30_Fert.incorp_30"
"Murlong","Spade.30_Lc.incorp_30","spade 30cm with lucerne incorporated 30cm",52,"Spade.30_Luc.incorp_30"
"Murlong","Rip.40_Lc.incorp_40","Ripping to 40cm with lucerne incorporated 40cm",104,"Rip.40_Luc.incorp_40"
"Murlong","Control","Control",1,"Control"
"Murlong","Rip.40_Fert.incorp_40","Ripping to 40cm with fertiliser incorporated 40cm",105,"Rip.40_Fert.incorp_40"
"Murlong","Spade.30_none","spade 30cm with no amendments",35,"Spade.30"
"Murlong","Spade.30_Fert.incorp_30","spade 30cm with fertiliser incorporated 30cm",65,"Spade.30_Fert.incorp_30"
"Murlong","Rip.30_none","Ripping to 30cm with no amendments",71,"Rip.30"
"Brimpton Lake","Control","Control",1,"Control"
"Brimpton Lake","Spade.30_Lc.incorp_30","spade 30cm with lucerne incorporated 30cm",52,"Spade.30_Luc.incorp_30"
"Brimpton Lake","Spade.30_none","spade 30cm with no amendments",35,"Spade.30"
"Brimpton Lake","Spade.30_Fert.incorp_30","spade 30cm with fertiliser incorporated 30cm",65,"Spade.30_Fert.incorp_30"
"Brimpton Lake","Spade.30_Lc.incorp_30.Fert.incorp_30","spade 30cm with lucerne and fertiliser incorporated 30cm",53,"Spade.30_Luc.incorp_30.Fert.incorp_30"
"Brimpton Lake","Unmodified_Fert.band_30","fertiliser banded 30cm",24,"Fert.band_30"
"Brimpton Lake","Spade.30_Fert.incorp_30.Clay.incorp_30","spade 30cm with fertiliser and clay incorporated 30cm",58,"Spade.30_Fert.incorp_30.Clay.incorp_30"
"Brimpton Lake","Spade.30_Clay.incorp_30","spade 30cm with clay incorporated 30cm",69,"Spade.30_Clay.incorp_30"
"Brimpton Lake","Unmodified_Fert.band_30.Clay.incorp_10","fertiliser banded 30cm and clay incorporated 10cm",26,"Fert.band_30.Clay.incorp_10"
"Brimpton Lake","Spade.30_Lc.incorp_30.Clay.incorp_30","spade 30cm with lucerne and clay incorporated 30cm",54,"Spade.30_Luc.incorp_30.Clay.incorp_30"
"Brimpton Lake","Unmodified_Clay.incorp_10","clay incorporated 10cm",28,"Clay.incorp_10"
"Brimpton Lake","Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30","spade 30cm with ulcerous and fertiliser and clay incorporated 30cm",55,"Spade.30_Luc.incorp_30.Fert.incorp_30.Clay.incorp_30"
"Cadgee","Unmodified_Fert.band_30.Clay.incorp_10","fertiliser banded 30cm and clay incorporated 10cm",26,"Fert.band_30.Clay.incorp_10"
"Cadgee","Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30","spade 30cm with ulcerous and fertiliser and clay incorporated 30cm",55,NA
"Cadgee","Spade.30_Lc.incorp_30","spade 30cm with lucerne incorporated 30cm",52,"Spade.30_Luc.incorp_30"
"Cadgee","Spade.30_Fert.incorp_30","spade 30cm with fertiliser incorporated 30cm",65,"Spade.30_Fert.incorp_30"
"Cadgee","Spade.30_none","spade 30cm with no amendments",35,"Spade.30"
"Cadgee","Control","Control",1,"Control"
"Cadgee","Spade.30_Fert.incorp_30.Clay.incorp_30","spade 30cm with fertiliser and clay incorporated 30cm",58,"Spade.30_Fert.incorp_30.Clay.incorp_30"
"Cadgee","Spade.30_Clay.incorp_30","spade 30cm with clay incorporated 30cm",69,"Spade.30_Clay.incorp_30"
"Cadgee","Spade.30_Lc.incorp_30.Fert.incorp_30","spade 30cm with ulcerous and fertiliser incorporated 30cm",53,NA
"Cadgee","Unmodified_Clay.incorp_10","clay incorporated 10cm",28,"Clay.incorp_10"
"Cadgee","Unmodified_Fert.band_30","fertiliser banded 30cm",24,"Fert.band_30"
"Cadgee","Spade.30_Lc.incorp_30.Clay.incorp_30","spade 30cm with lucerne and clay incorporated 30cm",54,"Spade.30_Luc.incorp_30.Clay.incorp_30"
"Karoonda","Spade.30_Fert.incorp_30.Clay.incorp_30","spade 30cm with fertiliser and clay incorporated 30cm",58,"Spade.30_Fert.incorp_30.Clay.incorp_30"
"Karoonda","Unmodified_Fert.band_30.Clay.incorp_10","fertiliser banded 30cm and clay incorporated 10cm",26,"Fert.band_30.Clay.incorp_10"
"Karoonda","Spade.30_Lc.incorp_30","spade 30cm with lucerne incorporated 30cm",52,"Spade.30_Luc.incorp_30"
"Karoonda","Spade.30_Fert.incorp_30","spade 30cm with fertiliser incorporated 30cm",65,"Spade.30_Fert.incorp_30"
"Karoonda","Spade.30_none","spade 30cm with no amendments",35,"Spade.30"
"Karoonda","Control","Control",1,"Control"
"Karoonda","Unmodified_Clay.incorp_10","clay incorporated 10cm",28,"Clay.incorp_10"
"Karoonda","Spade.30_Lc.incorp_30.Fert.incorp_30.Clay.incorp_30","spade 30cm with ulcerous and fertiliser and clay incorporated 30cm",55,"Spade.30_Luc.incorp_30.Fert.incorp_30.Clay.incorp_30"
"Karoonda","Spade.30_Lc.incorp_30.Fert.incorp_30","spade 30cm with ulcerous and fertiliser incorporated 30cm",53,"Spade.30_Luc.incorp_30.Fert.incorp_30"
"Karoonda","Spade.30_Clay.incorp_30","spade 30cm with clay incorporated 30cm",69,"Spade.30_Clay.incorp_30"
"Karoonda","Unmodified_Fert.band_30","fertiliser banded 30cm",24,"Fert.band_30"
"Karoonda","Spade.30_Lc.incorp_30.Clay.incorp_30","spade 30cm with lucerne and clay incorporated 30cm",54,"Spade.30_Luc.incorp_30.Clay.incorp_30"
"Ouyen_Spade","Control","Control",1,"Control"
"Ouyen_Spade","Spade.30_none","spade 30cm with no amendments",35,"Spade.30"
"Ouyen_Spade","Spade.30_Cereal.incorp_30","spade 30cm with cereal incorporated 30cm",60,"Spade.30_Cereal.incorp_30"
"Ouyen_Spade","Spade.30_Vetch.incorp_30","spade 30cm with vetch incorporated 30cm",61,"Spade.30_Vetch.incorp_30"
"Ouyen_Spade","Spade.30_Fert.incorp_30","spade 30cm with fertiliser incorporated 30cm",65,"Spade.30_Fert.incorp_30"
"Ouyen_Spade","Spade.30_Vet_Cer.incorp_30","spade 30cm with vetch and cereal incorporated 30cm",62,"Spade.30_Vet_Cer.incorp_30"
"Ouyen_Spade","Spade.30_Vet_Cer_In.incorp_30","spade 30cm with vetch and cereal and inoculant incorporated 30cm",63,"Spade.30_Vet_Cer_In.incorp_30"
"Ouyen_Spade","Spade.30_Com.incorp_30","spade 30cm with compost incorporated 30cm",59,"Spade.30_Com.incorp_30"
"Ouyen_Spade","Spade.30_Cl.incorp_30","spade 30cm with chicken litter incorporated 30cm",56,"Spade.30_ChickL.incorp_30"
"Waikerie","Control","Control",1,"Control"
"Waikerie","Unmodified_Cl.surface","chicken litter applied at surface",6,"ChickL.surface"
"Waikerie","Unmodified_Fert.band_8","fertiliser banded 8cm",22,"Fert.band_8"
"Waikerie","Rip.30_none","Ripping to 30cm with no amendments",71,"Rip.30"
"Waikerie","Rip.30_Cl.surface","Ripping to 30cm with chicken litter applied at surface",73,"Rip.30_ChickL.surface"
"Waikerie","Rip.30_Fert.band_8","Ripping to 30cm with fertiliser banded at 8cm",81,"Rip.30_Fert.band_8"
"Waikerie","Rip.30_Cl.band_30","Ripping to 30cm with chicken litter banded at 30cm",75,"Rip.30_ChickL.band_30"
"Waikerie","Rip.30_Fert.band_30","Ripping to 30cm with fertiliser banded at 30cm",82,"Rip.30_Fert.band_30"
"Waikerie","Rip.60_Cl.surface","Ripping to 60cm with chicken litter applied at surface",135,"Rip.60_ChickL.surface"
"Waikerie","Rip.60_Fert.band_8","Ripping to 60cm with fertiliser banded 8cm",139,"Rip.60_Fert.band_8"
"Waikerie","Rip.60_Cl.band_60","Ripping to 60cm with chicken litter banded 60cm",136,"Rip.60_ChickL.band_60"
"Waikerie","Rip.60_Fert.band_60","Ripping to 60cm with fertiliser banded 60cm",140,"Rip.60_Fert.band_60"
"Waikerie","Rip.60_none","Ripping to 60cm with no amendments",134,"Rip.60"
"Yenda","Sweep.30_Lime.incorp_30","sweep 30cm with lime incorporated 30cm",98,"Sweep.30_Lime.incorp_30"
"Yenda","Sweep.30_Cl@9.incorp_30","sweep 30cm with chicken litter at 9t/ha incorporated 30cm",96,"Sweep.30_ChickL@9.incorp_30"
"Yenda","Sweep.30_Cl@9.incorp_30_Yr17,18,19","sweep 30cm with chicken litter at 9t/ha incorporated 30cm applied 2017, 2018, 2019",97,"Sweep.30_ChickL@9.incorp_30_Yr17,18,19"
"Yenda","Sweep.30_Cl@3.incorp_30","sweep 30cm with chicken litter at 3t/ha incorporated 30cm",94,"Sweep.30_ChickL@3.incorp_30"
"Yenda","Unmodified_Cl@3.incorp_8","chicken litter at 3t/ha incorporated 8cm",8,"ChickL@3.incorp_8"
"Yenda","Rip.60_none","Ripping to 60cm with no amendments",134,"Rip.60"
"Yenda","Sweep.30_none","sweep 30cm with no amendments",93,"Sweep.30"
